date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:14:12	31/31	---M--	200	added ('OK')	text/plain	etag:%224fc1920-1f-55e64a2d3fd89%22	https://template.gridbootstrap.com/robots.txt		(from )
13:14:12	43590/43590	---M--	200	added ('OK')	text/html	etag:%225141a91-aa46-55e53ea171459%22	https://template.gridbootstrap.com/eventup/	D:/Work/ipact/template.gridbootstrap.com/eventup/index.html	(from )
13:14:13	121200/121200	---M--	200	added ('OK')	text/css	etag:%2251419ef-1d970-5386a5fc52e00%22	https://template.gridbootstrap.com/eventup/css/bootstrap.min.css	D:/Work/ipact/template.gridbootstrap.com/eventup/css/bootstrap.min.css	(from https://template.gridbootstrap.com/eventup/)
13:14:14	31000/31000	---M--	200	added ('OK')	text/css	etag:%2251419f3-7918-54e5c81f79f00%22	https://template.gridbootstrap.com/eventup/css/font-awesome.min.css	D:/Work/ipact/template.gridbootstrap.com/eventup/css/font-awesome.min.css	(from https://template.gridbootstrap.com/eventup/)
13:14:15	7789/7789	---M--	200	added ('OK')	text/css	etag:%2251419f8-1e6d-50fa3a7272680%22	https://template.gridbootstrap.com/eventup/css/magnific-popup.css	D:/Work/ipact/template.gridbootstrap.com/eventup/css/magnific-popup.css	(from https://template.gridbootstrap.com/eventup/)
13:14:15	4473/4473	---M--	200	added ('OK')	text/css	etag:%2251419f2-1179-547b119038d80%22	https://template.gridbootstrap.com/eventup/css/slick.css	D:/Work/ipact/template.gridbootstrap.com/eventup/css/slick.css	(from https://template.gridbootstrap.com/eventup/)
13:14:16	13029/13029	---M--	200	added ('OK')	text/css	etag:%2251419f1-32e5-54f8be050e680%22	https://template.gridbootstrap.com/eventup/css/plyr.css	D:/Work/ipact/template.gridbootstrap.com/eventup/css/plyr.css	(from https://template.gridbootstrap.com/eventup/)
13:14:17	2529/2529	---M--	200	added ('OK')	text/css	etag:%2251419f5-9e1-550900ae75a00%22	https://template.gridbootstrap.com/eventup/css/skin.css	D:/Work/ipact/template.gridbootstrap.com/eventup/css/skin.css	(from https://template.gridbootstrap.com/eventup/)
13:14:17	70824/70824	---M--	200	added ('OK')	text/css	etag:%2251419f7-114a8-5266063e19f80%22	https://template.gridbootstrap.com/eventup/css/animate.css	D:/Work/ipact/template.gridbootstrap.com/eventup/css/animate.css	(from https://template.gridbootstrap.com/eventup/)
13:14:17	36091/36091	---M--	200	added ('OK')	text/css	etag:%2251419f0-8cfb-55090839a6640%22	https://template.gridbootstrap.com/eventup/css/main.css	D:/Work/ipact/template.gridbootstrap.com/eventup/css/main.css	(from https://template.gridbootstrap.com/eventup/)
